127.0.0.1, 2014-12-04 21:34:56, GET, /, HTTP/1.1, 303, 0.013000
127.0.0.1, 2014-12-04 21:34:57, GET, /welcome/default/index, HTTP/1.1, 500, 0.759000
127.0.0.1, 2014-12-04 21:34:57, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-12-04 21:35:01, GET, /admin/default/ticket/welcome/127.0.0.1.2014-12-04.21-34-56.ca93d0f2-7de1-444a-ae2c-e3ce871ae709, HTTP/1.1, 303, 0.306000
127.0.0.1, 2014-12-04 21:35:01, GET, /admin/default/index, HTTP/1.1, 200, 0.115000
127.0.0.1, 2014-12-04 21:35:01, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-04 21:35:01, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-04 21:35:02, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-12-04 21:35:04, POST, /admin/default/index, HTTP/1.1, 303, 0.180000
127.0.0.1, 2014-12-04 21:35:04, GET, /admin/default/ticket/welcome/127.0.0.1.2014-12-04.21-34-56.ca93d0f2-7de1-444a-ae2c-e3ce871ae709, HTTP/1.1, 200, 0.194000
127.0.0.1, 2014-12-04 21:35:04, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-12-04 21:35:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-12-04 21:35:29, GET, /welcome/default/index, HTTP/1.1, 500, 0.213000
127.0.0.1, 2014-12-04 21:35:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-12-04 21:35:39, GET, /admin/default/ticket/welcome/127.0.0.1.2014-12-04.21-35-29.80441274-2a83-4202-a7b5-31ad6fee58b6, HTTP/1.1, 200, 0.282000
127.0.0.1, 2014-12-04 21:35:39, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-12-04 21:35:56, GET, /welcome/default/index, HTTP/1.1, 303, 0.109000
127.0.0.1, 2014-12-04 21:35:56, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.103000
127.0.0.1, 2014-12-04 21:35:56, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-12-04 21:35:56, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-12-04 21:35:56, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-12-04 21:35:56, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-12-04 21:35:56, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-12-04 21:35:56, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-12-04 21:35:56, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-04 21:35:56, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-12-04 21:35:56, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.042000
127.0.0.1, 2014-12-04 21:35:56, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.017000
127.0.0.1, 2014-12-04 21:35:56, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.018000
127.0.0.1, 2014-12-04 21:36:03, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.114000
127.0.0.1, 2014-12-04 21:36:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.093000
127.0.0.1, 2014-12-04 21:36:03, GET, /welcome/default/api, HTTP/1.1, 200, 0.106000
127.0.0.1, 2014-12-04 21:37:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.099000
127.0.0.1, 2014-12-04 21:37:07, GET, /welcome/default/api, HTTP/1.1, 200, 0.054000
127.0.0.1, 2014-12-04 21:37:23, GET, /welcome/default/index, HTTP/1.1, 200, 0.097000
127.0.0.1, 2014-12-04 21:37:23, GET, /welcome/default/api, HTTP/1.1, 200, 0.062000
127.0.0.1, 2014-12-04 21:38:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.128000
127.0.0.1, 2014-12-04 21:38:01, GET, /welcome/default/api, HTTP/1.1, 200, 0.051000
127.0.0.1, 2014-12-04 21:38:47, GET, /welcome/default/index, HTTP/1.1, 200, 0.092000
127.0.0.1, 2014-12-04 21:38:47, GET, /welcome/default/api, HTTP/1.1, 200, 0.054000
127.0.0.1, 2014-12-04 21:38:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.129000
127.0.0.1, 2014-12-04 21:38:58, GET, /welcome/default/api, HTTP/1.1, 200, 0.066000
127.0.0.1, 2014-12-04 21:40:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.071000
127.0.0.1, 2014-12-04 21:40:53, GET, /welcome/default/api, HTTP/1.1, 200, 0.050000
127.0.0.1, 2014-12-05 00:43:10, GET, /welcome/default/index, HTTP/1.1, 500, 0.142000
127.0.0.1, 2014-12-05 00:43:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-12-05 00:43:12, GET, /admin/default/ticket/welcome/127.0.0.1.2014-12-05.00-43-10.3a7945f6-c891-47f6-a70f-f521eaa0a5df, HTTP/1.1, 303, 0.023000
127.0.0.1, 2014-12-05 00:43:12, GET, /admin/default/index, HTTP/1.1, 200, 0.167000
127.0.0.1, 2014-12-05 00:43:12, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-12-05 00:43:12, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-05 00:43:12, GET, /admin/static/_2.9.11/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-05 00:43:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-12-05 00:43:15, POST, /admin/default/index, HTTP/1.1, 303, 0.210000
127.0.0.1, 2014-12-05 00:43:15, GET, /admin/default/ticket/welcome/127.0.0.1.2014-12-05.00-43-10.3a7945f6-c891-47f6-a70f-f521eaa0a5df, HTTP/1.1, 200, 0.177000
127.0.0.1, 2014-12-05 00:43:15, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-05 00:43:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-12-05 00:43:53, GET, /welcome/default/index, HTTP/1.1, 500, 0.135000
127.0.0.1, 2014-12-05 00:43:53, GET, /favicon.ico, HTTP/1.1, 400, 0.003000
127.0.0.1, 2014-12-05 00:43:55, GET, /admin/default/ticket/welcome/127.0.0.1.2014-12-05.00-43-53.1b9978fc-7fa3-44b8-a469-529fd15fa680, HTTP/1.1, 200, 0.275000
127.0.0.1, 2014-12-05 00:43:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-12-05 00:44:17, GET, /welcome/default/index, HTTP/1.1, 303, 0.150000
127.0.0.1, 2014-12-05 00:44:17, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.120000
127.0.0.1, 2014-12-05 00:44:17, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-12-05 00:44:17, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-05 00:44:17, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-12-05 00:44:17, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-05 00:44:17, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-12-05 00:44:17, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-12-05 00:44:17, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-12-05 00:44:17, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2014-12-05 00:44:17, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.007000
127.0.0.1, 2014-12-05 00:44:17, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.010000
127.0.0.1, 2014-12-05 00:44:17, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-12-05 00:44:26, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.137000
127.0.0.1, 2014-12-05 00:44:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.110000
127.0.0.1, 2014-12-05 00:44:27, GET, /welcome/default/api, HTTP/1.1, 200, 0.057000
127.0.0.1, 2014-12-05 00:45:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.181000
127.0.0.1, 2014-12-05 00:45:31, GET, /welcome/default/api, HTTP/1.1, 200, 0.070000
127.0.0.1, 2014-12-05 00:52:34, GET, /welcome/default/index, HTTP/1.1, 500, 0.209000
127.0.0.1, 2014-12-05 00:52:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-12-05 00:52:36, GET, /admin/default/ticket/welcome/127.0.0.1.2014-12-05.00-52-34.c0150fbe-e23c-490c-b7e2-32abc8d6447c, HTTP/1.1, 200, 0.148000
127.0.0.1, 2014-12-05 00:52:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-12-05 00:53:38, GET, /welcome/default/index, HTTP/1.1, 500, 0.101000
127.0.0.1, 2014-12-05 00:53:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-12-05 00:54:18, GET, /welcome/default/index, HTTP/1.1, 200, 0.103000
127.0.0.1, 2014-12-05 00:54:19, GET, /welcome/default/api, HTTP/1.1, 200, 0.075000
127.0.0.1, 2014-12-05 00:55:31, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-12-05 00:55:32, GET, /welcome/default/index, HTTP/1.1, 200, 0.101000
127.0.0.1, 2014-12-05 00:55:33, GET, /welcome/default/api, HTTP/1.1, 200, 0.055000
127.0.0.1, 2014-12-05 00:55:50, GET, /welcome/default/index, HTTP/1.1, 200, 0.124000
127.0.0.1, 2014-12-05 00:55:50, GET, /welcome/default/api, HTTP/1.1, 200, 0.080000
127.0.0.1, 2014-12-05 00:56:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.209000
127.0.0.1, 2014-12-05 00:56:01, GET, /welcome/default/api, HTTP/1.1, 200, 0.102000
127.0.0.1, 2014-12-05 00:58:25, GET, /welcome/default/index, HTTP/1.1, 500, 0.339000
127.0.0.1, 2014-12-05 00:58:25, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2014-12-05 00:58:26, GET, /admin/default/ticket/welcome/127.0.0.1.2014-12-05.00-58-24.62183704-88a6-455d-a637-615d70e27e81, HTTP/1.1, 200, 0.310000
127.0.0.1, 2014-12-05 00:58:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-12-05 00:58:42, GET, /welcome/default/index, HTTP/1.1, 200, 0.073000
127.0.0.1, 2014-12-05 00:58:42, GET, /welcome/default/api, HTTP/1.1, 200, 0.075000
127.0.0.1, 2014-12-05 00:59:16, GET, /welcome/default/index, HTTP/1.1, 200, 0.112000
127.0.0.1, 2014-12-05 00:59:16, GET, /welcome/default/api, HTTP/1.1, 200, 0.070000
127.0.0.1, 2014-12-05 01:03:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.094000
127.0.0.1, 2014-12-05 01:03:07, GET, /welcome/default/api, HTTP/1.1, 200, 0.052000
127.0.0.1, 2014-12-06 23:16:33, GET, /, HTTP/1.1, 303, 0.015000
127.0.0.1, 2014-12-06 23:16:33, GET, /welcome/default/index, HTTP/1.1, 303, 0.266000
127.0.0.1, 2014-12-06 23:16:33, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.053000
127.0.0.1, 2014-12-06 23:16:33, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-06 23:16:34, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-06 23:16:34, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-12-06 23:16:34, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-06 23:16:34, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-06 23:16:34, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-06 23:16:34, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-06 23:16:34, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-06 23:16:34, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-06 23:16:34, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-06 23:16:34, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-06 23:16:34, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-06 23:16:48, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.071000
127.0.0.1, 2014-12-06 23:16:48, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.045000
127.0.0.1, 2014-12-06 23:16:54, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.454000
127.0.0.1, 2014-12-06 23:16:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.044000
127.0.0.1, 2014-12-06 23:16:54, GET, /welcome/default/api, HTTP/1.1, 200, 0.031000
127.0.0.1, 2014-12-06 23:17:00, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-12-06 23:18:55, GET, /welcome/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-06 23:23:00, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2014-12-06 23:23:00, GET, /welcome/default/index, HTTP/1.1, 303, 0.038000
127.0.0.1, 2014-12-06 23:23:00, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.051000
127.0.0.1, 2014-12-06 23:23:01, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-06 23:23:01, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2014-12-06 23:23:01, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.008000
127.0.0.1, 2014-12-06 23:23:01, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2014-12-06 23:23:01, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2014-12-06 23:23:01, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.009000
06000
127.0.0.1, 2014-12-06 23:23:01, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-06 23:23:01, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
000
127.0.0.1, 2014-12-06 23:23:01, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-06 23:23:01, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-06 23:23:04, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.055000
127.0.0.1, 2014-12-06 23:23:21, POST, /welcome/default/user/register, HTTP/1.1, 303, 0.389000
127.0.0.1, 2014-12-06 23:23:21, GET, /welcome/default/index, HTTP/1.1, 200, 0.043000
127.0.0.1, 2014-12-06 23:23:22, GET, /welcome/default/api, HTTP/1.1, 200, 0.042000
127.0.0.1, 2014-12-06 23:23:24, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-06 23:25:33, GET, /welcome/appadmin, HTTP/1.1, 303, 0.041000
127.0.0.1, 2014-12-06 23:25:33, GET, /admin/default/index, HTTP/1.1, 200, 0.247000
127.0.0.1, 2014-12-06 23:25:34, GET, /admin/static/_2.9.11/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-06 23:25:34, GET, /admin/static/_2.9.11/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-06 23:25:34, GET, /admin/static/_2.9.11/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-12-06 23:25:34, GET, /admin/static/_2.9.11/plugin_multiselect/start.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2014-12-06 23:25:34, GET, /admin/static/_2.9.11/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2014-12-06 23:25:34, GET, /admin/static/_2.9.11/js/web2py.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2014-12-06 23:25:34, GET, /admin/static/_2.9.11/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-12-06 23:25:34, GET, /admin/static/_2.9.11/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2014-12-06 23:25:34, GET, /admin/static/_2.9.11/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-06 23:25:34, GET, /admin/static/_2.9.11/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-12-06 23:25:34, GET, /admin/static/_2.9.11/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-12-06 23:25:34, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-12-06 23:25:34, GET, /admin/static/_2.9.11/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2014-12-06 23:25:34, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-06 23:25:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-12-06 23:25:35, POST, /admin/default/index, HTTP/1.1, 303, 0.080000
127.0.0.1, 2014-12-06 23:25:35, GET, /welcome/appadmin/index, HTTP/1.1, 200, 0.101000
127.0.0.1, 2014-12-06 23:25:35, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001000
